"College","Control Number","Course ID","TOP Code","Credit Status","Maximum Units","Minimum Units","Basic Skills Status","SAM Status","Prior To Transfer Status","Non-Credit Category","Funding Category","Non-Credit Minimum Hours","Non-Credit Maximum Hours","Issue/Update Date"
"Cabrillo","CCC000366404","RT61L       ","122500","D","01.00","01.00","N","C","Y","Y","Y",,,"20180627"
"Cabrillo","CCC000366413","PE-45C      ","083500","D","02.00","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366579","DANCE-59    ","100800","D","03.00","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366595","ECE-180S    ","130500","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366558","CIS-80S     ","070800","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366559","GERMAN-2    ","110300","D","04.00","04.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366565","CS-11B      ","070600","D","04.00","04.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366542","AP-45       ","100200","D","03.00","03.00","N","E","Y","Y","Y",,,"20130821"
"Cabrillo","CCC000366486","DH184A      ","124020","D","02.00","02.00","N","C","Y","Y","Y",,,"20180223"
"Cabrillo","CCC000366522","ESL-254L    ","493087","C","02.00","00.50","B","E","C","Y","Y",,,"20151218"
"Cabrillo","CCC000360683","SBUS-130MR  ","050100","D","00.50","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360679","DH163B      ","124020","D","01.00","01.00","N","C","Y","Y","Y",,,"20180430"
"Cabrillo","CCC000360637","SB-124B     ","050100","D","00.50","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360645","ACCT-161A   ","050200","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360628","SLS-4       ","110100","D","04.00","04.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360625","DRAFT-124A  ","095300","D","04.00","04.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360622","MA-80S      ","120800","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360609","ASTRO-11    ","191100","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360597","RT71L       ","122500","D","01.00","00.70","N","B","Y","Y","Y",,,"20180729"
"Cabrillo","CCC000360592","DANCE-79E   ","100800","D","03.00","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360576","CG-99B      ","493010","D","01.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360585","CA-80S      ","070100","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360583","BOT-30A     ","070100","D","03.00","01.50","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360686","ECE53       ","130500","D","03.00","03.00","N","C","Y","Y","Y",,,"20180630"
"Cabrillo","CCC000360715","HMT-172     ","213300","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360720","AH16        ","100200","D","03.00","03.00","N","E","Y","Y","Y",,,"20180630"
"Cabrillo","CCC000360751","ESL-1       ","493084","D","06.00","06.00","N","E","Y","Y","Y",,,"20100730"
"Cabrillo","CCC000360734","ECE-147     ","130500","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360926","CS-23       ","070600","D","04.00","04.00","N","D","Y","Y","Y",,,"20161021"
"Cabrillo","CCC000360833","ATH-15PP    ","083500","D","01.50","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000361031","CABT190AC   ","070210","D","00.50","00.50","N","D","Y","Y","Y",,,"20180926"
"Cabrillo","CCC000361038","ART-31A     ","100200","D","03.00","03.00","N","E","Y","Y","Y",,,"20130422"
"Cabrillo","CCC000361010","ART-21      ","100200","D","03.00","01.00","N","E","Y","Y","Y",,,"20130821"
"Cabrillo","CCC000361001","GEOG5       ","220600","D","03.00","03.00","N","E","Y","Y","Y",,,"20180805"
"Cabrillo","CCC000361061","CWEE-99G    ","493012","D","04.00","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000361046","FIN-110     ","050400","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000361047","ESL-253L    ","493087","C","02.00","00.50","B","E","D","Y","Y",,,"20151218"
"Cabrillo","CCC000361054","WS-39TC     ","220110","D","01.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000361088","DANCE-74    ","100800","D","02.50","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000361113","TA-8        ","100700","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000361094","BOT-30B 3   ","070100","D","03.00","01.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000361105","RT60L       ","122500","D","01.00","00.50","N","C","Y","Y","Y",,,"20180729"
"Cabrillo","CCC000360535","CAOS-187    ","070100","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360472","PHILO10     ","150900","D","03.00","03.00","N","E","Y","Y","Y",,,"20180728"
"Cabrillo","CCC000360486","CA-122ABL   ","070100","D","00.00","00.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360498","MUS-60      ","100400","D","01.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360499","MUS35       ","100400","D","01.00","01.00","N","E","Y","Y","Y",,,"20180831"
"Cabrillo","CCC000360506","GEOG1L      ","220600","D","01.00","01.00","N","E","Y","Y","Y",,,"20180724"
"Cabrillo","CCC000360504","MUS15B      ","100400","D","01.00","01.00","N","E","Y","Y","Y",,,"20180829"
"Cabrillo","CCC000360434","CS-105A     ","070600","D","01.50","01.50","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360468","FPT-150     ","213300","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360447","PSYCH-39C   ","200100","D","01.00","01.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360343","ARCHE-113A  ","220220","D","01.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360327","ECE-171SN   ","130500","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360306","SBUS-189    ","050100","D","04.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360268","SMBU-124A   ","050100","D","05.00","05.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360269","ALA-37ABC   ","130100","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360173","ENGL-101Q   ","150100","D","03.00","03.00","N","E","A","Y","Y",,,"20070919"
"Cabrillo","CCC000360204","ECE-51ABC   ","130500","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360202","MA-184      ","120800","D","02.00","02.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360211","CABT-204    ","051400","C","02.00","02.00","N","C","Y","Y","Y",,,"20100730"
"Cabrillo","CCC000360244","CG-282      ","493010","C","02.00","02.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360232","IT-171      ","095600","D","02.50","02.50","N","D","Y","Y","Y",,,"20070919"
